12345JOHN DOE            M31121990
67890JANE SMITH          F04052000
24680ROBERT JOHNSON      M23061985
13579LISA ANDERSON       F15032001
98765MICHAEL WILLIAMS    M07101995
54321SARAH MARTINEZ      F28121989
11223DAVID MILLER        M09071980
12354EMMA WILSON         F18061992
99999OLIVIA BROWN        F25081998
77777JAMES GARCIA        M11111975
11111MIA DAVIS           F02091988
22222ETHAN JONES         M14041993
33333AVA MARTIN          F10122005
44444NOAH RODRIGUEZ      M19071997
55555CHLOE HERNANDEZ     F27032003
66666SAMUEL LOPEZ        M08011982
77778EMILY GONZALEZ      F20051996
88888WILLIAM PEREZ       M03031979
99990SOFIA RAMIREZ       F12112009
10101AIDEN TORRES        M16082010
