12345John Doe            0875092507800200M
54321Jane Smith          0725088009551000F
98765Alice Johnson       0920089809120975F
24680Bob Williams        0787084507920775M
13579Mary Brown          0890090208490725F
86420David Lee           0755087507631000M
77777Sarah Clark         0913088708500900F
55555Emily Davis         0875090008470300F
22222Michael Hall        0788085007000450M
66666William White       0800085308150675M
44444Olivia Garcia       0835090509000225F
88888Daniel Perez        0892083008870000M
99999Ava Robinson        0975086508731000F
77788Sophia Lewis        0850087208970175F
11111James Turner        0795081008250225M
33333Benjamin King       0863090009200775M
44411Harper Scott        0925087708570625F
55511Evelyn Adams        0847089509000325F
77711Lily Brown          0820083708700450F
99911Samuel Johnson      0873085208420800M
