0000000aaaaaBBBBBcccccDDDDDeeeeeFFFFF0000100F
0000001Marika                        9999999F
0000002Raddan                        0800000M
0000003Morgott, O Rei Agouro         0600000M
0000004Rennala, Rainha da Lua Cheia  0900000F
0000005Godrick, O Enxertado          0100000M
0000006Malenia, Espada de Miquella   5000000F
0000007Ranni                         0100000F
0000008Radagon                       5700000M
0000009Tervore                       0240000f
0000010Cavaleiro do Crisol           0001000M
0000011Melina                        0700000F
0000012Roderika                      0540000f
0000013Renna                         0090000F
0000014Fia                           0500000F
0000015Irina                         0950000F
0000016Margit, O Agouro Caido        0014000M
0000017Sentinela da Arvore           0001200M
0000018Maliketh, A Lamina Negra      0002300M
0000019Loretta, Cavaleira Real       1000000F
0000020Rogier, O Espadamago          0020000M
0000001Marika                        9999999F
0000002Raddan                        0800000M
0000003Morgott, O Rei Agouro         0600000M
0000004Rennala, Rainha da Lua Cheia  0900000F
0000005Godrick, O Enxertado          0100000M
0000006Malenia, Espada de Miquella   5000000F
0000007Ranni                         0100000F
0000008Radagon                       5700000M
0000009Tervore                       0240000f
0000010Cavaleiro do Crisol           0001000M
0000011Melina                        0700000F
0000012Roderika                      0540000f
0000013Renna                         0090000F
0000014Fia                           0500000F
0000015Irina                         0950000F
0000016Margit, O Agouro Caido        0014000M
0000017Sentinela da Arvore           0001200M
0000018Maliketh, A Lamina Negra      0002300M
0000019Loretta, Cavaleira Real       1000000F
0000020Rogier, O Espadamago          0020000M
0000001Marika                        9999999F
0000002Raddan                        0800000M
0000003Morgott, O Rei Agouro         0600000M
0000004Rennala, Rainha da Lua Cheia  0900000F
0000005Godrick, O Enxertado          0100000M
0000006Malenia, Espada de Miquella   5000000F
0000007Ranni                         0100000F
0000008Radagon                       5700000M
0000009Tervore                       0240000f
0000010Cavaleiro do Crisol           0001000M
0000011Melina                        0700000F
0000012Roderika                      0540000f
0000013Renna                         0090000F
0000014Fia                           0500000F
0000015Irina                         0950000F
0000016Margit, O Agouro Caido        0014000M
0000017Sentinela da Arvore           0001200M
0000018Maliketh, A Lamina Negra      0002300M
0000019Loretta, Cavaleira Real       1000000F
0000020Rogier, O Espadamago          0020000M
0000001Marika                        9999999F
0000002Raddan                        0800000M
0000003Morgott, O Rei Agouro         0600000M
0000004Rennala, Rainha da Lua Cheia  0900000F
0000005Godrick, O Enxertado          0100000M
0000006Malenia, Espada de Miquella   5000000F
0000007Ranni                         0100000F
0000008Radagon                       5700000M
0000009Tervore                       0240000f
0000010Cavaleiro do Crisol           0001000M
0000011Melina                        0700000F
0000012Roderika                      0540000f
0000013Renna                         0090000F
0000014Fia                           0500000F
0000015Irina                         0950000F
0000016Margit, O Agouro Caido        0014000M
0000017Sentinela da Arvore           0001200M
0000018Maliketh, A Lamina Negra      0002300M
0000019Loretta, Cavaleira Real       1000000F
0000020Rogier, O Espadamago          0020000M
0000001Marika                        9999999F
0000002Raddan                        0800000M
0000003Morgott, O Rei Agouro         0600000M
0000004Rennala, Rainha da Lua Cheia  0900000F
0000005Godrick, O Enxertado          0100000M
0000006Malenia, Espada de Miquella   5000000F
0000007Ranni                         0100000F
0000008Radagon                       5700000M
0000009Tervore                       0240000f
0000010Cavaleiro do Crisol           0001000M
0000011Melina                        0700000F
0000012Roderika                      0540000f
0000013Renna                         0090000F
0000014Fia                           0500000F
0000015Irina                         0950000F
0000016Margit, O Agouro Caido        0014000M
0000017Sentinela da Arvore           0001200M
0000018Maliketh, A Lamina Negra      0002300M
0000019Loretta, Cavaleira Real       1000000F
0000020Rogier, O Espadamago          0020000M
0000001Marika                        9999999F
0000002Raddan                        0800000M
0000003Morgott, O Rei Agouro         0600000M
0000004Rennala, Rainha da Lua Cheia  0900000F
0000005Godrick, O Enxertado          0100000M
0000006Malenia, Espada de Miquella   5000000F
0000007Ranni                         0100000F
0000008Radagon                       5700000M
0000009Tervore                       0240000f
0000010Cavaleiro do Crisol           0001000M
0000011Melina                        0700000F
0000012Roderika                      0540000f
0000013Renna                         0090000F
0000014Fia                           0500000F
0000015Irina                         0950000F
0000016Margit, O Agouro Caido        0014000M
0000017Sentinela da Arvore           0001200M
0000018Maliketh, A Lamina Negra      0002300M
0000019Loretta, Cavaleira Real       1000000F
0000020Rogier, O Espadamago          0020000M
0000001Marika                        9999999F
0000002Raddan                        0800000M
0000003Morgott, O Rei Agouro         0600000M
0000004Rennala, Rainha da Lua Cheia  0900000F
0000005Godrick, O Enxertado          0100000M
0000006Malenia, Espada de Miquella   5000000F
0000007Ranni                         0100000F
0000008Radagon                       5700000M
0000009Tervore                       0240000f
0000010Cavaleiro do Crisol           0001000M
0000011Melina                        0700000F
0000012Roderika                      0540000f
0000013Renna                         0090000F
0000014Fia                           0500000F
0000015Irina                         0950000F
0000016Margit, O Agouro Caido        0014000M
0000017Sentinela da Arvore           0001200M
0000018Maliketh, A Lamina Negra      0002300M
0000019Loretta, Cavaleira Real       1000000F
0000020Rogier, O Espadamago          0020000M
0000001Marika                        9999999F
0000002Raddan                        0800000M
0000003Morgott, O Rei Agouro         0600000M
0000004Rennala, Rainha da Lua Cheia  0900000F
0000005Godrick, O Enxertado          0100000M
0000006Malenia, Espada de Miquella   5000000F
0000007Ranni                         0100000F
0000008Radagon                       5700000M
0000009Tervore                       0240000f
0000010Cavaleiro do Crisol           0001000M
0000011Melina                        0700000F
0000012Roderika                      0540000f
0000013Renna                         0090000F
0000014Fia                           0500000F
0000015Irina                         0950000F
0000016Margit, O Agouro Caido        0014000M
0000017Sentinela da Arvore           0001200M
0000018Maliketh, A Lamina Negra      0002300M
0000019Loretta, Cavaleira Real       1000000F
0000020Rogier, O Espadamago          0020000M
0000001Marika                        9999999F
0000002Raddan                        0800000M
0000003Morgott, O Rei Agouro         0600000M
0000004Rennala, Rainha da Lua Cheia  0900000F
0000005Godrick, O Enxertado          0100000M
0000006Malenia, Espada de Miquella   5000000F
0000007Ranni                         0100000F
0000008Radagon                       5700000M
0000009Tervore                       0240000f
0000010Cavaleiro do Crisol           0001000M
0000011Melina                        0700000F
0000012Roderika                      0540000f
0000013Renna                         0090000F
0000014Fia                           0500000F
0000015Irina                         0950000F
0000016Margit, O Agouro Caido        0014000M
0000017Sentinela da Arvore           0001200M
0000018Maliketh, A Lamina Negra      0002300M
0000019Loretta, Cavaleira Real       1000000F
0000020Rogier, O Espadamago          0020000M
0000001Marika                        9999999F
0000002Raddan                        0800000M
0000003Morgott, O Rei Agouro         0600000M
0000004Rennala, Rainha da Lua Cheia  0900000F
0000005Godrick, O Enxertado          0100000M
0000006Malenia, Espada de Miquella   5000000F
0000007Ranni                         0100000F
0000008Radagon                       5700000M
0000009Tervore                       0240000f
0000010Cavaleiro do Crisol           0001000M
0000011Melina                        0700000F
0000012Roderika                      0540000f
0000013Renna                         0090000F
0000014Fia                           0500000F
0000015Irina                         0950000F
0000016Margit, O Agouro Caido        0014000M
0000017Sentinela da Arvore           0001200M
0000018Maliketh, A Lamina Negra      0002300M
0000019Loretta, Cavaleira Real       1000000F
0000020Rogier, O Espadamago          0020000M
0000001Marika                        9999999F
0000002Raddan                        0800000M
0000003Morgott, O Rei Agouro         0600000M
0000004Rennala, Rainha da Lua Cheia  0900000F
0000005Godrick, O Enxertado          0100000M
0000006Malenia, Espada de Miquella   5000000F
0000007Ranni                         0100000F
0000008Radagon                       5700000M
0000009Tervore                       0240000f
0000010Cavaleiro do Crisol           0001000M
0000011Melina                        0700000F
0000012Roderika                      0540000f
0000013Renna                         0090000F
0000014Fia                           0500000F
0000015Irina                         0950000F
0000016Margit, O Agouro Caido        0014000M
0000017Sentinela da Arvore           0001200M
0000018Maliketh, A Lamina Negra      0002300M
0000019Loretta, Cavaleira Real       1000000F
0000020Rogier, O Espadamago          0020000M
0000001Marika                        9999999F
0000002Raddan                        0800000M
0000003Morgott, O Rei Agouro         0600000M
0000004Rennala, Rainha da Lua Cheia  0900000F
0000005Godrick, O Enxertado          0100000M
0000006Malenia, Espada de Miquella   5000000F
0000007Ranni                         0100000F
0000008Radagon                       5700000M
0000009Tervore                       0240000f
0000010Cavaleiro do Crisol           0001000M
0000011Melina                        0700000F
0000012Roderika                      0540000f
0000013Renna                         0090000F
0000014Fia                           0500000F
0000015Irina                         0950000F
0000016Margit, O Agouro Caido        0014000M
0000017Sentinela da Arvore           0001200M
0000018Maliketh, A Lamina Negra      0002300M
0000019Loretta, Cavaleira Real       1000000F
0000020Rogier, O Espadamago          0020000M
0000001Marika                        9999999F
0000002Raddan                        0800000M
0000003Morgott, O Rei Agouro         0600000M
0000004Rennala, Rainha da Lua Cheia  0900000F
0000005Godrick, O Enxertado          0100000M
0000006Malenia, Espada de Miquella   5000000F
0000007Ranni                         0100000F
0000008Radagon                       5700000M
0000009Tervore                       0240000f
0000010Cavaleiro do Crisol           0001000M
0000011Melina                        0700000F
0000012Roderika                      0540000f
0000013Renna                         0090000F
0000014Fia                           0500000F
0000015Irina                         0950000F
0000016Margit, O Agouro Caido        0014000M
0000017Sentinela da Arvore           0001200M
0000018Maliketh, A Lamina Negra      0002300M
0000019Loretta, Cavaleira Real       1000000F
0000020Rogier, O Espadamago          0020000M
0000001Marika                        9999999F
0000002Raddan                        0800000M
0000003Morgott, O Rei Agouro         0600000M
0000004Rennala, Rainha da Lua Cheia  0900000F
0000005Godrick, O Enxertado          0100000M
0000006Malenia, Espada de Miquella   5000000F
0000007Ranni                         0100000F
0000008Radagon                       5700000M
0000009Tervore                       0240000f
0000010Cavaleiro do Crisol           0001000M
0000011Melina                        0700000F
0000012Roderika                      0540000f
0000013Renna                         0090000F
0000014Fia                           0500000F
0000015Irina                         0950000F
0000016Margit, O Agouro Caido        0014000M
0000017Sentinela da Arvore           0001200M
0000018Maliketh, A Lamina Negra      0002300M
0000019Loretta, Cavaleira Real       1000000F
0000020Rogier, O Espadamago          0020000M
0000001Marika                        9999999F
0000002Raddan                        0800000M
0000003Morgott, O Rei Agouro         0600000M
0000004Rennala, Rainha da Lua Cheia  0900000F
0000005Godrick, O Enxertado          0100000M
0000006Malenia, Espada de Miquella   5000000F
0000007Ranni                         0100000F
0000008Radagon                       5700000M
0000009Tervore                       0240000f
0000010Cavaleiro do Crisol           0001000M
0000011Melina                        0700000F
0000012Roderika                      0540000f
0000013Renna                         0090000F
0000014Fia                           0500000F
0000015Irina                         0950000F
0000016Margit, O Agouro Caido        0014000M
0000017Sentinela da Arvore           0001200M
0000018Maliketh, A Lamina Negra      0002300M
0000019Loretta, Cavaleira Real       1000000F
0000020Rogier, O Espadamago          0020000M
